"country","disease","recommendation","source_url"
"Andorra","Chickenpox (Varicella)","Routine Vaccine","https://wwwnc.cdc.gov/travel/destinations/traveler/none/andorra"
"Andorra","Diphtheria-Tetanus-Pertussis (DTaP, Tdap, or Td)","Routine Vaccine","https://wwwnc.cdc.gov/travel/destinations/traveler/none/andorra"
"Andorra","Flu (influenza)","Routine Vaccine","https://wwwnc.cdc.gov/travel/destinations/traveler/none/andorra"
"Andorra","Measles-Mumps-Rubella (MMR)","Routine Vaccine","https://wwwnc.cdc.gov/travel/destinations/traveler/none/andorra"
"Andorra","Polio","Routine Vaccine","https://wwwnc.cdc.gov/travel/destinations/traveler/none/andorra"
"Andorra","Shingles","Routine Vaccine","https://wwwnc.cdc.gov/travel/destinations/traveler/none/andorra"
"Andorra","COVID-19","All eligible travelers should be up to date with their COVID-19 vaccines. Please see Your COVID-19 Vaccination for more information.","https://wwwnc.cdc.gov/travel/destinations/traveler/none/andorra"
"Andorra","Hepatitis B","Recommended for unvaccinated travelers of all ages traveling to Andorra.","https://wwwnc.cdc.gov/travel/destinations/traveler/none/andorra"
"Andorra","Measles","Cases of measles are on the rise worldwide. Travelers are at risk of measles if they have not been fully vaccinated at least two weeks prior to departure, or have not had measles in the past, and travel internationally to areas where measles is spreading. All international travelers should be fully vaccinated against measles with the measles-mumps-rubella (MMR) vaccine, including an early dose for infants 6–11 months, according to CDC’s measles vaccination recommendations for international travel.","https://wwwnc.cdc.gov/travel/destinations/traveler/none/andorra"
"Andorra","Rabies","Dogs infected with rabies are not commonly found in Andorra. If rabies exposures occur while in Andorra, rabies vaccines are typically available throughout most of the country. Rabies pre-exposure vaccination considerations include whether travelers 1) will be performing occupational or recreational activities that increase risk for exposure to potentially rabid animals and 2) might have difficulty getting prompt access to safe post-exposure prophylaxis. Please consult with a healthcare provider to determine whether you should receive pre-exposure vaccination before travel. For more information, see country rabies status assessments.","https://wwwnc.cdc.gov/travel/destinations/traveler/none/andorra"
"Andorra","Yellow Fever","CDC recommendations: Vaccine is not recommended. Country entry requirements: Vaccine is not required. Updated April 23, 2025","https://wwwnc.cdc.gov/travel/destinations/traveler/none/andorra"
"British Virgin Islands","Chickenpox (Varicella)","Routine Vaccine","https://wwwnc.cdc.gov/travel/destinations/traveler/none/british-virgin-islands"
"British Virgin Islands","Diphtheria-Tetanus-Pertussis (DTaP, Tdap, or Td)","Routine Vaccine","https://wwwnc.cdc.gov/travel/destinations/traveler/none/british-virgin-islands"
"British Virgin Islands","Flu (influenza)","Routine Vaccine","https://wwwnc.cdc.gov/travel/destinations/traveler/none/british-virgin-islands"
"British Virgin Islands","Measles-Mumps-Rubella (MMR)","Routine Vaccine","https://wwwnc.cdc.gov/travel/destinations/traveler/none/british-virgin-islands"
"British Virgin Islands","Polio","Routine Vaccine","https://wwwnc.cdc.gov/travel/destinations/traveler/none/british-virgin-islands"
"British Virgin Islands","Shingles","Routine Vaccine","https://wwwnc.cdc.gov/travel/destinations/traveler/none/british-virgin-islands"
"British Virgin Islands","COVID-19","All eligible travelers should be up to date with their COVID-19 vaccines. Please see Your COVID-19 Vaccination for more information.","https://wwwnc.cdc.gov/travel/destinations/traveler/none/british-virgin-islands"
"British Virgin Islands","Hepatitis A","Recommended for unvaccinated travelers one year old or older going to the British Virgin Islands. Infants 6 to 11 months old should also be vaccinated against Hepatitis A. The dose does not count toward the routine 2-dose series. Travelers allergic to a vaccine component should receive a single dose of immune globulin, which provides effective protection for up to 2 months depending on dosage given. Unvaccinated travelers who are over 40 years old, are immunocompromised, or have chronic medical conditions planning to depart to a risk area in less than 2 weeks should get the initial dose of vaccine and at the same appointment receive immune globulin.","https://wwwnc.cdc.gov/travel/destinations/traveler/none/british-virgin-islands"
"British Virgin Islands","Hepatitis B","Recommended for unvaccinated travelers of all ages traveling to the British Virgin Islands.","https://wwwnc.cdc.gov/travel/destinations/traveler/none/british-virgin-islands"
"British Virgin Islands","Measles","Cases of measles are on the rise worldwide. Travelers are at risk of measles if they have not been fully vaccinated at least two weeks prior to departure, or have not had measles in the past, and travel internationally to areas where measles is spreading. All international travelers should be fully vaccinated against measles with the measles-mumps-rubella (MMR) vaccine, including an early dose for infants 6–11 months, according to CDC’s measles vaccination recommendations for international travel.","https://wwwnc.cdc.gov/travel/destinations/traveler/none/british-virgin-islands"
"British Virgin Islands","Rabies","Dogs infected with rabies are not commonly found in the British Virgin Islands. If rabies exposures occur while in the British Virgin Islands, rabies vaccines are typically available throughout most of the country. Rabies pre-exposure vaccination considerations include whether travelers 1) will be performing occupational or recreational activities that increase risk for exposure to potentially rabid animals and 2) might have difficulty getting prompt access to safe post-exposure prophylaxis. Please consult with a healthcare provider to determine whether you should receive pre-exposure vaccination before travel. For more information, see country rabies status assessments.","https://wwwnc.cdc.gov/travel/destinations/traveler/none/british-virgin-islands"
"British Virgin Islands","Typhoid","Recommended for most travelers, especially those staying with friends or relatives or visiting smaller cities or rural areas.","https://wwwnc.cdc.gov/travel/destinations/traveler/none/british-virgin-islands"
"British Virgin Islands","Yellow Fever","CDC recommendations: Vaccine is not recommended. Country entry requirements: Vaccine is not required. Updated April 23, 2025","https://wwwnc.cdc.gov/travel/destinations/traveler/none/british-virgin-islands"
"Angola","Chickenpox (Varicella)","Routine Vaccine","https://wwwnc.cdc.gov/travel/destinations/traveler/none/angola"
"Angola","Diphtheria-Tetanus-Pertussis (DTaP, Tdap, or Td)","Routine Vaccine","https://wwwnc.cdc.gov/travel/destinations/traveler/none/angola"
"Angola","Flu (influenza)","Routine Vaccine","https://wwwnc.cdc.gov/travel/destinations/traveler/none/angola"
"Angola","Measles-Mumps-Rubella (MMR)","Routine Vaccine","https://wwwnc.cdc.gov/travel/destinations/traveler/none/angola"
"Angola","Polio","Routine Vaccine","https://wwwnc.cdc.gov/travel/destinations/traveler/none/angola"
"Angola","Shingles","Routine Vaccine","https://wwwnc.cdc.gov/travel/destinations/traveler/none/angola"
"Angola","COVID-19","All eligible travelers should be up to date with their COVID-19 vaccines. Please see Your COVID-19 Vaccination for more information.","https://wwwnc.cdc.gov/travel/destinations/traveler/none/angola"
"Angola","Cholera","Active cholera transmission is widespread in Angola. Cholera is rare in travelers. Certain factors may increase the risk of getting cholera or having severe disease (more information). Avoiding unsafe food and water and washing your hands can also help prevent cholera. Vaccination may be considered for children and adults who are traveling to areas of active cholera transmission.","https://wwwnc.cdc.gov/travel/destinations/traveler/none/angola"
"Angola","Hepatitis A","Recommended for unvaccinated travelers one year old or older going to Angola. Infants 6 to 11 months old should also be vaccinated against Hepatitis A. The dose does not count toward the routine 2-dose series. Travelers allergic to a vaccine component should receive a single dose of immune globulin, which provides effective protection for up to 2 months depending on dosage given. Unvaccinated travelers who are over 40 years old, are immunocompromised, or have chronic medical conditions planning to depart to a risk area in less than 2 weeks should get the initial dose of vaccine and at the same appointment receive immune globulin.","https://wwwnc.cdc.gov/travel/destinations/traveler/none/angola"
"Angola","Hepatitis B","Recommended for unvaccinated travelers of all ages traveling to Angola.","https://wwwnc.cdc.gov/travel/destinations/traveler/none/angola"
"Angola","Malaria","CDC recommends that travelers going to Angola take prescription medicine to prevent malaria. Depending on the medicine you take, you will need to start taking this medicine multiple days before your trip, as well as during and after your trip. Talk to your doctor about which malaria medication you should take. Transmission areas All Drug resistance1 Chloroquine Species P. falciparum (primarily) P. malariae, P. ovale, and P. vivax (less commonly) Recommended chemoprophylaxis Atovaquone-proguanil, doxycycline, mefloquine, tafenoquine2 Updated April 23, 2025 See footnotes","https://wwwnc.cdc.gov/travel/destinations/traveler/none/angola"
"Angola","Measles","Cases of measles are on the rise worldwide. Travelers are at risk of measles if they have not been fully vaccinated at least two weeks prior to departure, or have not had measles in the past, and travel internationally to areas where measles is spreading. All international travelers should be fully vaccinated against measles with the measles-mumps-rubella (MMR) vaccine, including an early dose for infants 6–11 months, according to CDC’s measles vaccination recommendations for international travel.","https://wwwnc.cdc.gov/travel/destinations/traveler/none/angola"
"Angola","Polio","In Angola, poliovirus has been identified in the past year. Travelers to Angola are at increased risk of exposure to poliovirus. Vaccine recommendations: Adults traveling to Angola who received a complete polio vaccination series as children may receive a single lifetime booster dose of inactivated polio vaccine; travelers who are unvaccinated or not fully vaccinated should receive a complete polio vaccination series before travel. Children who are not fully vaccinated will be considered for an accelerated vaccination schedule.","https://wwwnc.cdc.gov/travel/destinations/traveler/none/angola"
"Angola","Rabies","Dogs infected with rabies are commonly found in Angola. If rabies exposures occur while in Angola, rabies vaccines may only be available in larger suburban/urban medical facilities. Rabies pre-exposure vaccination considerations include whether travelers 1) will be performing occupational or recreational activities that increase risk for exposure to potentially rabid animals and 2) might have difficulty getting prompt access to safe post-exposure prophylaxis. Please consult with a healthcare provider to determine whether you should receive pre-exposure vaccination before travel. For more information, see country rabies status assessments.","https://wwwnc.cdc.gov/travel/destinations/traveler/none/angola"
"Angola","Typhoid","Recommended for most travelers, especially those staying with friends or relatives or visiting smaller cities or rural areas.","https://wwwnc.cdc.gov/travel/destinations/traveler/none/angola"
"Angola","Yellow Fever","CDC recommendations: Vaccine is recommended for all travelers ≥9 months old. Country entry requirements: Vaccine is required for all arriving travelers ≥9 months old Updated April 23, 2025","https://wwwnc.cdc.gov/travel/destinations/traveler/none/angola"
"Anguilla","Chickenpox (Varicella)","Routine Vaccine","https://wwwnc.cdc.gov/travel/destinations/traveler/none/anguilla"
"Anguilla","Diphtheria-Tetanus-Pertussis (DTaP, Tdap, or Td)","Routine Vaccine","https://wwwnc.cdc.gov/travel/destinations/traveler/none/anguilla"
"Anguilla","Flu (influenza)","Routine Vaccine","https://wwwnc.cdc.gov/travel/destinations/traveler/none/anguilla"
"Anguilla","Measles-Mumps-Rubella (MMR)","Routine Vaccine","https://wwwnc.cdc.gov/travel/destinations/traveler/none/anguilla"
"Anguilla","Polio","Routine Vaccine","https://wwwnc.cdc.gov/travel/destinations/traveler/none/anguilla"
"Anguilla","Shingles","Routine Vaccine","https://wwwnc.cdc.gov/travel/destinations/traveler/none/anguilla"
"Anguilla","COVID-19","All eligible travelers should be up to date with their COVID-19 vaccines. Please see Your COVID-19 Vaccination for more information.","https://wwwnc.cdc.gov/travel/destinations/traveler/none/anguilla"
"Anguilla","Hepatitis A","Recommended for unvaccinated travelers one year old or older going to Anguilla. Infants 6 to 11 months old should also be vaccinated against Hepatitis A. The dose does not count toward the routine 2-dose series. Travelers allergic to a vaccine component should receive a single dose of immune globulin, which provides effective protection for up to 2 months depending on dosage given. Unvaccinated travelers who are over 40 years old, are immunocompromised, or have chronic medical conditions planning to depart to a risk area in less than 2 weeks should get the initial dose of vaccine and at the same appointment receive immune globulin.","https://wwwnc.cdc.gov/travel/destinations/traveler/none/anguilla"
"Anguilla","Hepatitis B","Recommended for unvaccinated travelers of all ages traveling to Anguilla.","https://wwwnc.cdc.gov/travel/destinations/traveler/none/anguilla"
"Anguilla","Measles","Cases of measles are on the rise worldwide. Travelers are at risk of measles if they have not been fully vaccinated at least two weeks prior to departure, or have not had measles in the past, and travel internationally to areas where measles is spreading. All international travelers should be fully vaccinated against measles with the measles-mumps-rubella (MMR) vaccine, including an early dose for infants 6–11 months, according to CDC’s measles vaccination recommendations for international travel.","https://wwwnc.cdc.gov/travel/destinations/traveler/none/anguilla"
"Anguilla","Rabies","Dogs infected with rabies are not commonly found in Anguilla. If rabies exposures occur while in Anguilla, rabies vaccines may only be available in larger suburban/urban medical facilities. Rabies pre-exposure vaccination considerations include whether travelers 1) will be performing occupational or recreational activities that increase risk for exposure to potentially rabid animals and 2) might have difficulty getting prompt access to safe post-exposure prophylaxis. Please consult with a healthcare provider to determine whether you should receive pre-exposure vaccination before travel. For more information, see country rabies status assessments.","https://wwwnc.cdc.gov/travel/destinations/traveler/none/anguilla"
"Anguilla","Typhoid","Recommended for most travelers, especially those staying with friends or relatives or visiting smaller cities or rural areas.","https://wwwnc.cdc.gov/travel/destinations/traveler/none/anguilla"
"Anguilla","Yellow Fever","CDC recommendations: Vaccine is not recommended. Country entry requirements: Vaccine is not required. Updated April 23, 2025","https://wwwnc.cdc.gov/travel/destinations/traveler/none/anguilla"
"Antigua and Barbuda","Chickenpox (Varicella)","Routine Vaccine","https://wwwnc.cdc.gov/travel/destinations/traveler/none/antigua-and-barbuda"
"Antigua and Barbuda","Diphtheria-Tetanus-Pertussis (DTaP, Tdap, or Td)","Routine Vaccine","https://wwwnc.cdc.gov/travel/destinations/traveler/none/antigua-and-barbuda"
"Antigua and Barbuda","Flu (influenza)","Routine Vaccine","https://wwwnc.cdc.gov/travel/destinations/traveler/none/antigua-and-barbuda"
"Antigua and Barbuda","Measles-Mumps-Rubella (MMR)","Routine Vaccine","https://wwwnc.cdc.gov/travel/destinations/traveler/none/antigua-and-barbuda"
"Antigua and Barbuda","Polio","Routine Vaccine","https://wwwnc.cdc.gov/travel/destinations/traveler/none/antigua-and-barbuda"
"Antigua and Barbuda","Shingles","Routine Vaccine","https://wwwnc.cdc.gov/travel/destinations/traveler/none/antigua-and-barbuda"
"Antigua and Barbuda","COVID-19","All eligible travelers should be up to date with their COVID-19 vaccines. Please see Your COVID-19 Vaccination for more information.","https://wwwnc.cdc.gov/travel/destinations/traveler/none/antigua-and-barbuda"
"Antigua and Barbuda","Hepatitis A","Recommended for unvaccinated travelers one year old or older going to Antigua and Barbuda. Infants 6 to 11 months old should also be vaccinated against Hepatitis A. The dose does not count toward the routine 2-dose series. Travelers allergic to a vaccine component should receive a single dose of immune globulin, which provides effective protection for up to 2 months depending on dosage given. Unvaccinated travelers who are over 40 years old, are immunocompromised, or have chronic medical conditions planning to depart to a risk area in less than 2 weeks should get the initial dose of vaccine and at the same appointment receive immune globulin.","https://wwwnc.cdc.gov/travel/destinations/traveler/none/antigua-and-barbuda"
"Antigua and Barbuda","Hepatitis B","Recommended for unvaccinated travelers of all ages traveling to Antigua and Barbuda.","https://wwwnc.cdc.gov/travel/destinations/traveler/none/antigua-and-barbuda"
